Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
ich,ich,der,der,der,ich,ich,nich,ich,det
der,der,ich,ich,ich,der,der,wat,der,ick
sich,sich,sich,sich,sich,sich,sich,de,sich,der
sein,und,und,mein,und,sein,sein,un,und,ich
mein,sein,mein,und,mein,mein,und,mi,sein,nich
und,mein,sein,sein,sein,und,mein,is,mein,se
nicht,nicht,nicht,in,nicht,nicht,nicht,di,nicht,wat
haben,du,zu,nicht,zu,zu,du,ick,du,is
du,zu,in,du,in,haben,einen,jo,einen,sich
einen,so,du,zu,du,einen,so,se,zu,ooch
so,einen,einen,einen,so,so,haben,em,in,de
zu,in,so,mit,einen,du,zu,en,so,sein
in,haben,mit,so,haben,werden,in,du,haben,und
werden,was,haben,wie,wie,in,was,he,was,haben
was,wie,wie,auf,mit,daß,wie,nu,wie,in
meinen,mit,was,dies,was,was,is,nee,mit,nu
daß,meinen,von,von,von,wollen,mit,denn,meinen,mein
mit,werden,auf,aus,dies,können,meinen,so,von,un
wollen,von,werden,meinen,meinen,wenn,daß,dien,daß,et
wie,wollen,daß,mägdlein,doch,meinen,werden,na,auf,herr
