Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14
ich,ich,ich,der,der,ich,ich,nich,ich,det,der,der,ich,der,der
der,der,der,ich,ich,der,der,wat,der,ick,ich,ich,der,ich,net
sich,sich,sich,sich,sich,sich,sich,de,sich,der,sich,sich,sich,sich,ich
sein,und,und,mein,und,sein,sein,un,sein,ich,und,und,sein,und,is
und,sein,sein,und,mein,mein,und,mi,und,nich,mein,sein,mein,mein,un
mein,mein,mein,sein,sein,und,mein,is,mein,se,sein,mein,nicht,sein,sich
nicht,du,nicht,in,nicht,nicht,nicht,di,nicht,wat,nicht,nicht,und,nicht,mer
du,nicht,du,nicht,zu,haben,du,ick,einen,is,du,in,haben,in,se
zu,zu,zu,du,in,einen,zu,jo,haben,sich,zu,zu,zu,du,no
einen,einen,haben,zu,du,so,einen,se,du,ooch,in,einen,einen,zu,do
haben,in,einen,einen,so,zu,so,em,so,de,einen,du,so,einen,so
so,so,so,mit,einen,du,in,en,zu,sein,so,mit,werden,mit,und
in,haben,in,so,haben,in,haben,du,in,und,was,haben,du,was,nich
was,was,wie,wie,wie,werden,was,he,was,haben,mit,so,in,so,sein
wie,wie,was,auf,mit,was,wie,nu,werden,in,wie,wie,daß,wie,de
meinen,mit,daß,dies,was,daß,mit,nee,meinen,nu,meinen,von,was,haben,mein
mit,meinen,mit,von,von,meinen,meinen,denn,ja,mein,von,werden,wollen,von,was
werden,werden,werden,aus,dies,ja,werden,so,wie,un,haben,was,wenn,auf,dös
daß,von,wollen,meinen,meinen,aber,daß,dien,daß,et,doch,auf,können,meinen,ja
von,wollen,von,mägdlein,doch,wenn,von,na,mit,herr,auf,dies,von,daß,du
