Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
ich,ich,ich,der,der,ich,ich,nich,ich,det,der,der,ich,der
der,der,der,ich,ich,der,der,wat,der,ick,ich,ich,der,ich
sich,sich,sich,sich,sich,sich,sich,de,sich,der,sich,sich,sich,sich
sein,und,und,mein,und,sein,sein,un,sein,ich,und,und,sein,und
und,sein,sein,und,mein,mein,und,mi,und,nich,mein,sein,mein,mein
mein,mein,mein,sein,sein,und,mein,is,mein,se,sein,mein,und,sein
nicht,du,nicht,in,nicht,nicht,nicht,di,nicht,wat,nicht,nicht,nicht,nicht
du,nicht,du,nicht,zu,haben,du,ick,einen,is,du,in,haben,in
zu,zu,zu,du,in,einen,so,jo,haben,sich,zu,zu,zu,du
einen,in,haben,zu,du,so,zu,se,du,ooch,in,einen,einen,zu
haben,so,einen,einen,so,zu,einen,em,so,de,einen,du,so,einen
so,einen,so,mit,einen,du,haben,en,zu,sein,so,mit,werden,mit
in,haben,in,so,haben,in,in,du,in,und,was,haben,du,was
was,was,wie,wie,wie,werden,was,he,was,haben,mit,so,in,so
wie,mit,was,auf,mit,was,wie,nu,werden,in,wie,wie,daß,wie
meinen,wie,daß,dies,was,daß,mit,nee,ja,nu,meinen,von,was,haben
mit,meinen,mit,von,von,ja,meinen,denn,meinen,mein,von,werden,wollen,von
werden,werden,werden,aus,dies,meinen,is,so,wie,un,haben,was,können,auf
daß,von,wollen,meinen,meinen,aber,daß,dien,daß,et,doch,auf,wenn,meinen
von,wollen,von,mägdlein,doch,wenn,doch,na,mit,herr,auf,dies,meinen,daß
