Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12
il,il,il,il,et,che,il,il,il,il,che,il,il
che,che,di,che,il,il,che,che,che,essere,il,che,essere
essere,di,che,essere,che,essere,el,essere,essere,che,essere,di,che
di,essere,io,di,non,non,no,di,di,el,di,essere,non
non,non,essere,non,essere,di,mi,non,non,avere,non,non,avere
in,avere,non,io,di,avere,avere,de,mio,lo,io,io,di
avere,in,in,avere,ch,io,de,avere,io,uno,mi,in,lo
mio,ch,mio,fare,si,in,se,me,in,non,avere,mio,uno
io,si,tu,per,io,fare,uno,mio,mi,mi,in,uno,fare
fare,io,tuo,mi,in,mi,lo,io,uno,di,fare,mi,mi
mi,per,al,in,mi,per,essere,fare,per,no,per,si,per
per,mio,mi,mio,avere,uno,me,signora,tuo,se,mio,ch,io
el,mi,ma,uno,per,lo,mo,per,avere,me,si,avere,in
uno,reina,me,questo,fare,questo,in,mi,al,fare,dire,al,volere
ch,molto,molto,ch,uno,se,ve,lo,se,per,uno,per,dire
se,questo,or,dire,questo,et,per,in,si,de,se,tuo,signora
tuo,fare,ei,si,se,tu,qua,signore,questo,in,lo,molto,mio
questo,et,ti,volere,ne,ch,da,da,ma,mio,questo,questo,se
tu,ma,avere,lo,mio,molto,fare,se,ti,da,ma,ma,si
ti,da,del,voi,ti,el,co,con,molto,io,volere,tu,signore
