Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4
ich,ich,der,der,ich
der,der,ich,ich,der
sich,sich,sich,sich,sich
sein,sein,und,und,sein
und,und,mein,mein,mein
mein,mein,sein,sein,und
nicht,du,nicht,nicht,nicht
du,nicht,zu,in,haben
einen,so,in,zu,zu
zu,zu,du,du,einen
haben,in,einen,so,so
so,einen,so,einen,du
in,haben,mit,haben,in
was,was,haben,wie,werden
meinen,is,wie,mit,daß
wie,wie,was,dies,was
mit,mit,von,von,wollen
werden,meinen,auf,was,meinen
von,doch,daß,meinen,mit
daß,nich,werden,auf,von
