Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10
il,il,il,il,et,il,il,il,il,il,che
che,che,di,che,il,che,che,che,che,essere,il
essere,di,che,essere,che,essere,el,essere,essere,che,essere
di,essere,essere,di,non,di,no,di,non,non,di
non,non,non,non,essere,non,mi,non,di,avere,non
avere,in,io,io,di,io,avere,de,mio,di,io
in,ch,in,avere,ch,avere,de,avere,io,lo,mi
mio,avere,mio,fare,si,in,se,me,in,uno,avere
fare,si,tuo,per,io,mi,uno,mio,mi,fare,in
el,io,al,mi,in,uno,lo,io,uno,mi,fare
per,mio,tu,in,mi,fare,essere,fare,avere,per,per
io,per,mi,mio,avere,per,me,signora,tuo,io,mio
mi,mi,uno,uno,per,ch,mo,per,per,in,si
uno,molto,ma,questo,fare,questo,in,mi,se,se,dire
ch,al,molto,ch,uno,lo,ve,lo,al,mio,uno
se,questo,del,dire,questo,si,per,in,si,volere,se
questo,da,ti,si,se,mio,qua,signore,questo,dire,lo
con,uno,avere,volere,ne,et,da,da,ma,signora,questo
tuo,ma,me,lo,mio,se,fare,se,ti,signore,ma
tu,fare,si,voi,ti,tu,co,con,molto,si,volere
