Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13
il,il,il,il,il,che,il,il,il,il,che,il,il,et
che,che,di,che,che,il,che,che,che,essere,il,che,essere,il
essere,di,che,essere,et,essere,el,essere,essere,che,essere,di,che,che
di,essere,io,di,essere,non,no,di,di,el,di,essere,non,non
non,non,essere,non,non,di,mi,non,non,avere,non,non,avere,essere
in,avere,non,io,di,avere,avere,de,mio,lo,io,io,di,di
avere,in,in,avere,io,io,de,avere,io,uno,mi,in,lo,ch
mio,ch,mio,fare,mi,in,se,me,in,non,avere,mio,uno,si
io,si,tu,per,questo,fare,uno,mio,mi,mi,in,uno,fare,in
fare,io,tuo,mi,avere,per,lo,io,uno,di,fare,mi,mi,io
mi,per,al,in,in,mi,essere,fare,per,no,per,si,per,avere
per,mio,mi,mio,fare,lo,me,signora,tuo,se,mio,ch,io,per
el,mi,ma,uno,si,uno,mo,per,avere,me,si,avere,in,ne
uno,reina,me,questo,mio,questo,in,mi,al,fare,dire,al,volere,uno
ch,molto,molto,ch,per,tu,ve,lo,se,per,uno,per,dire,fare
se,questo,or,dire,uno,se,per,in,si,de,se,tuo,signora,mi
tuo,fare,ei,si,ch,el,qua,signore,questo,in,lo,molto,mio,se
questo,et,ti,volere,molto,ch,da,da,ma,mio,questo,questo,se,questo
tu,ma,avere,lo,se,molto,fare,se,ti,da,ma,ma,si,de
ti,da,del,voi,volere,si,co,con,molto,io,volere,tu,signore,noi
